County GEOID,County Name,EnviroScreen Percentile Score,Pollution and Climate Burden Percentile Score,Health and Social Factors Percentile Score,Environmental Exposures Percentile Score,Environmental Effects Percentile Score,Climate Vulnerability Percentile Score,Sensitive Populations Percentile Score,Demographics Percentile Score,Air Toxics Emissions,Air Toxics Emissions (percentile),Diesel Particulate Matter (µg/m3),Diesel Particulate Matter (percentile),Drinking Water Regulations,Drinking Water Regulations (percentile),Lead Exposure Risk (percentage),Lead Exposure Risk (percentile),Noise (dba),Noise (percentile),Other Air Pollutants,Other Air Pollutants (percentile),Ozone (ppb),Ozone (percentile),Fine Particle Pollution (µg/m3),Fine Particle Pollution (percentile),Traffic Proximity and Volume,Traffic Proximity and Volume (percentile),Environmental Exposures Raw Score,Proximity to Hazardous Waste Facilities,Proximity to Hazardous Waste Facilities (percentile),Proximity to Mining Locations,Proximity to Mining Locations (percentile),Proximity to National Priorities List Sites,Proximity to National Priorities List Sites (percentile),Proximity to Oil and Gas,Proximity to Oil and Gas (percentile),Proximity to Risk Management Plan Sites,Proximity to Risk Management Plan Sites (percentile),Impaired Streams and Rivers,Impaired Streams and Rivers (percentile),Wastewater Discharge Indicator,Wastewater Discharge Indicator (percentile),Environmental Effects Raw Score,Drought,Drought (percentile),Floodplains (percent),Floodplains (percentile),Extreme Heat Days,Extreme Heat Days (percentile),Wildfire Risk,Wildfire Risk (percentile),Climate Vulnerability Raw Score,Housing Cost Burdened (decimal percent),Housing Cost Burdened (percentile),Disability (decimal percent),Disability (percentile),Less Than High School Education (decimal percent),Less Than High School Education (percentile),Linguistic Isolation (decimal percent),Linguistic Isolation (percentile),Low Income (decimal percent),Low Income (percentile),People of Color (decimal percent),People of Color (percentile),Demographics Raw Score,Asthma Hospitalization Rate,Asthma Hospitalization Rate (percentile),Cancer index (percent),Cancer index (percentile),Diabetes index,Diabetes index (percentile),Heart Disease in Adults (percent),Heart Disease in Adults (percentile),Life Expectancy (years),Life Expectancy (percentile),Low Birth Weight,Low Birth Weight (percentile),Mental Health Indicator,Mental Health Indicator (percentile),Population Over 64,Population Over 64 (percentile),Population Under 5,Population Under 5 (percentile),Sensitive Populations Raw Score,Health and Social Factors Raw Score,Pollution and Climate Burden Raw Score,EnviroScreen Raw Score,Shape_Length,Shape_Area
8023,Costilla,57.8125,9.375,92.1875,9.375,17.1875,71.875,59.375,100,0.026139589,26,0.009718668,10.9375,1.960784314,1.960784314,0.294239536,60.9375,29.7432303,9.375,0.01785841,33.87096774,48.17587397,53.125,4.685773973,17.1875,16643.19973,17.1875,17.68628295,0,0,1.572730687,36.50793651,0,0,0,0,0,0,45.23809524,15.87301587,21.26905449,24.19354839,24.11286246,50.95785441,70.3125,0,0,32.5,70.3125,92.84066123,28.125,51.80669295,0.264705882,35.9375,0.26401138,100,0.116545663,82.8125,0.079084967,96.61016949,0.502702703,95.3125,0.664402943,100,80.59400609,15.209,30.35714286,9.375,1.5625,96.875,100,94.53125,96.875,79.5,62.90322581,18.935,98.38709677,18.7,78.125,0.277589134,90.625,0.046972269,50,46.45047878,63.52224244,27.82303033,35.06873707,2.632767389,0.323925143
8011,Bent,56.25,12.5,89.0625,25,40.625,9.375,71.875,93.75,0.000278104,4,0.038893985,67.1875,82.35294118,82.35294118,0.482101348,92.1875,33.25636964,62.5,0.001634022,8.064516129,44.00988904,14.0625,5.855058904,57.8125,36693.14366,32.8125,31.1273677,0,0,1.272721689,34.92063492,0,0,1.671512532,27.90697674,0.010537466,10.25641026,93.65079365,76.19047619,88.05821232,40.32258065,31.43748988,45.59386973,53.125,0,0,20.75,4.6875,85.05955947,26.5625,18.77167632,0.309734513,65.625,0.209966934,95.3125,0.166002345,96.875,0.009955752,28.81355932,0.487246103,93.75,0.456392735,84.375,71.89557214,50.258,91.07142857,32.03125,7.8125,90.625,95.3125,95.3125,100,78,87.09677419,9.223,46.77419355,18.8,79.6875,0.183959719,45.3125,0.040819996,28.125,52.05325697,61.97441456,28.1159754,34.57446458,2.572390901,0.409167768
8015,Chaffee,54.6875,53.125,46.875,40.625,64.0625,57.8125,45.3125,56.25,0.006978429,14,0.016040637,26.5625,60.78431373,60.78431373,0.228323699,51.5625,31.0412637,31.25,0.098662534,62.90322581,49.8247274,87.5,4.63480137,12.5,67047.11864,51.5625,36.97617108,0,0,17.87138548,77.77777778,0.149895759,60.71428571,0,0,0,0,58.73015873,28.57142857,52.7676826,33.87096774,46.23559974,42.91187739,42.1875,0.042887491,23.52941176,37.5,93.75,131.8712289,40.625,44.09505388,0.33962056,87.5,0.130075933,53.125,0.069568021,42.1875,0.015552614,44.06779661,0.29534307,51.5625,0.154314046,18.75,45.04617228,17.539,35.71428571,39.0625,15.625,39.84375,43.75,41.40625,35.9375,79.88,53.22580645,9.777,56.4516129,17,39.0625,0.262778573,84.375,0.039204662,25,39.17318897,42.10968062,41.07074895,34.31661528,3.125821897,0.272389119
8067,La Plata,53.125,79.6875,34.375,75,57.8125,87.5,39.0625,26.5625,0.388408876,60,0.027325008,51.5625,50.98039216,50.98039216,0.151241455,35.9375,31.26840763,37.5,0.798632431,77.41935484,48.10605662,51.5625,4.868714384,28.125,183964.4331,78.125,49.74231058,0,0,15.47557492,71.42857143,0,0,1262.909392,86.04651163,0.036508407,30.76923077,63.49206349,34.92063492,8.522400259,19.35483871,41.81371088,70.49808429,100,0.212048723,55.88235294,28.75,53.125,787.4247694,84.375,70.74517956,0.298047684,59.375,0.101475351,31.25,0.041645002,25,0.001674673,6.779661017,0.250706306,35.9375,0.232856403,46.875,28.445602,17.989,39.28571429,61.71875,76.5625,23.4375,23.4375,36.71875,34.375,82.11666667,17.74193548,9.004,41.93548387,16.2,25,0.190182734,50,0.044370613,40.625,35.58762266,32.01661233,53.0108779,33.67675596,3.022819369,0.447277698
8009,Baca,51.5625,17.1875,79.6875,31.25,31.25,6.25,96.875,53.125,0.001033766,8,0.022089373,40.625,92.15686275,92.15686275,0.379848866,78.125,34.79306787,70.3125,0.006469003,20.96774194,43.6739137,12.5,5.752219178,53.125,31200.23708,26.5625,34.00829018,0.103935987,33.33333333,0.101110748,7.936507937,0,0,2.172455469,34.88372093,0.079502396,38.46153846,88.88888889,66.66666667,0,0,29.84099359,63.2183908,92.1875,0,0,20.25,1.5625,105.5661472,35.9375,17.29869369,0.238335435,14.0625,0.173913043,81.25,0.141773163,89.0625,0.004413619,22.03389831,0.525213801,98.4375,0.174771167,26.5625,42.46361286,0,0,76.5625,93.75,79.6875,78.125,90.625,93.75,80,51.61290323,9.278,48.38709677,21.8,100,0.238844394,75,0.04805492,57.8125,72.26249151,57.36305218,28.78906691,32.7679835,3.382013218,0.673306467
8125,Yuma,50,40.625,50,70.3125,21.875,32.8125,42.1875,62.5,0.793498929,66,0.033296664,65.625,33.33333333,33.33333333,0.453744493,87.5,36.87591101,87.5,0.055300839,54.83870968,42.9476589,6.25,6.320665753,79.6875,38233.84097,34.375,46.60757134,0,0,0.621474794,26.98412698,0,0,188.8304799,74.41860465,0.439962989,74.35897436,9.523809524,4.761904762,4.271334173,16.12903226,25.81680297,51.72413793,71.875,0,0,25.75,42.1875,27.59789209,9.375,30.51951596,0.258790792,23.4375,0.082907381,18.75,0.151665167,93.75,0.055147989,94.91525424,0.337857439,67.1875,0.283859932,64.0625,50.62348455,9.354,16.07142857,48.4375,40.625,69.53125,70.3125,57.8125,56.25,79.65,61.29032258,5.997,3.225806452,18.4,71.875,0.180619843,42.1875,0.068826726,93.75,37.45670428,44.04009442,37.3878654,32.67147846,3.243823452,0.647060025
8021,Conejos,48.4375,23.4375,70.3125,17.1875,15.625,75,65.625,73.4375,0,0,0.014402981,20.3125,19.60784314,19.60784314,0.333663121,64.0625,29.43873723,4.6875,0.006086734,19.35483871,48.58324795,64.0625,4.665419178,15.625,52061.07387,45.3125,23.85867009,0,0,1.034003833,31.74603175,0.001781857,7.142857143,0,0,0,0,65.07936508,36.50793651,44.51262367,29.03225806,22.14151728,52.49042146,73.4375,0,0,32,64.0625,96.95376063,31.25,52.7785267,0.21574344,6.25,0.184978026,85.9375,0.1022499,71.875,0.087463557,98.30508475,0.510726183,96.875,0.551833708,98.4375,57.51283959,12.134,23.21428571,42.1875,29.6875,96.875,100,91.40625,95.3125,82.25,12.90322581,10.772,69.35483871,18.1,65.625,0.195286641,53.125,0.062359327,79.6875,49.01564301,53.2642413,30.65934604,32.40324528,2.791569802,0.339368416
8095,Phillips,46.875,15.625,75,29.6875,26.5625,10.9375,53.125,87.5,0.096258357,42,0.031949541,64.0625,21.56862745,21.56862745,0.443248532,85.9375,37.89711961,93.75,0.033577308,41.93548387,42.43456575,3.125,6.179278082,73.4375,13762.51336,12.5,33.71224656,0,0,2.676947697,42.85714286,0,0,92.41674157,72.09302326,0.010075296,7.692307692,0,0,0,0,28.75131417,43.67816092,45.3125,0,0,27.5,46.875,15.49232972,3.125,18.79330269,0.297159091,57.8125,0.133106576,56.25,0.108900877,76.5625,0.094886364,100,0.311564626,60.9375,0.297574004,67.1875,68.34743956,18.767,41.07142857,57.03125,60.9375,87.5,87.5,64.0625,68.75,80.1,50,5.469,1.612903226,19.8,93.75,0.182728689,43.75,0.074782996,96.875,42.80493483,55.57618719,28.7422775,31.69566022,1.848098001,0.189577891
8063,Kit Carson,45.3125,18.75,71.875,48.4375,14.0625,1.5625,56.25,79.6875,0.009483848,20,0.025309078,46.875,96.07843137,96.07843137,0.380466472,79.6875,36.91840618,89.0625,0.004830984,17.74193548,43.34679589,7.8125,6.155276712,68.75,47435.31109,43.75,40.0735879,0,0,0.372493106,14.28571429,0,0,1.609145826,25.58139535,0.579339939,79.48717949,44.44444444,14.28571429,1.38270441,11.29032258,21.58471493,47.50957854,59.375,0,0,24.75,35.9375,10.32822897,1.5625,14.93907945,0.262168513,31.25,0.159022286,75,0.122551063,87.5,0.05068815,91.52542373,0.314047208,62.5,0.234834494,50,62.33307013,52.603,96.42857143,41.40625,21.875,72.65625,75,66.40625,71.875,79.7,58.06451613,6.536,4.838709677,17.2,48.4375,0.200170479,54.6875,0.06606052,87.5,44.89189143,53.61248078,29.16774255,31.02834398,3.285455684,0.58467413
8065,Lake,43.75,70.3125,31.25,64.0625,82.8125,45.3125,25,34.375,0.055510557,36,0.013820467,18.75,0,0,0.398753117,81.25,32.22693313,51.5625,0.049670406,50,50.79196804,93.75,4.80366484,26.5625,45294.32778,42.1875,44.30797386,0,0,8.402937854,63.49206349,7.818533383,96.42857143,0,0,0,0,76.19047619,50.79365079,122.1731967,41.93548387,60.09371673,31.03448276,20.3125,0,0,34.5,84.375,95.63153265,29.6875,37.05529403,0.236164963,12.5,0.110279101,35.9375,0.057240334,39.0625,0.019034191,54.23728814,0.187827045,14.0625,0.394569769,76.5625,31.7516101,14.504,26.78571429,50.78125,53.125,41.40625,45.3125,35.15625,32.8125,78.6,77.41935484,17.633,95.16129032,14.4,3.125,0.141969472,15.625,0.042280157,35.9375,31.11706226,31.43433618,46.44123962,28.96663006,1.727453253,0.103687163
